fid,STRINGGUID,KODIERUNG,BAUMNR,TYP,GEFAELLT_A,ART,PFLEGE,KD,CREATE_BY,CHANGE_BY,CREATE_DAT,CHANGE_DAT,Rechtswert,Hochwert,Baumart_la,Sorte,Bewaesseru,Baumalter,GA_NR,GA_NAME,Pflanzdatu,id,NAME_DT,NAME_LAT,BHD,KRONE_D,HOEHE,KOMMENTAR
1,{F55273ED-6005-4749-A0D4-1E07D3BD4F13},,"1.00302",B,,Laubbaum,False,13,,bruchsal_baum,,2024/01/09,3470677,5443129.79,Tilia spec.,,"0",67 Jahre,1/001/209,Babette Ihle Platz,12.11.1955 00:00:00,1,Winterlinde,Tilia cordata,0.38,10,12.4,"8 qm, Rindenmulch "
2,{31DB61AD-A381-48AE-8057-0381B0DE2363},,"1.00303",B,,Laubbaum,False,8,,bruchsal_baum,,2024/01/09,3470685.81,5443124.88,Tilia spec.,,"0",67 Jahre,1/001/209,Babette Ihle Platz,12.11.1955 00:00:00,1,Winterlinde,Tilia cordata,0.36,10,12,"8 qm, Rindenmulch "
3,{AAF5F061-7F9E-4110-BB28-7FFDAC9A94D0},,"1.00304",B,,Laubbaum,False,11,,bruchsal_baum,,2024/01/09,3470693.26,5443121.49,Tilia spec.,,"0",67 Jahre,1/001/209,Babette Ihle Platz,12.11.1955 00:00:00,1,Winterlinde,Tilia cordata,0.57,15.5,16.2,"8 qm,  Rindenmulch"
4,{FE6CF817-56CC-4FD2-81F6-B6E750C73378},,"1.50601",B,,Laubbaum,True,13,,bruchsal_baum,,2024/02/05,3470849.24,5443047.51,Gleditisia triacanthos,,"0",34 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989 00:00:00,1,Amerikanische Gleditschie,Gleditisia triacanthos,0.4,12.7,11.5,
5,{C65F5885-45EB-4837-984E-B2068422B13F},,"1.50602",B,,Laubbaum,False,10,,bruchsal_baum,,2024/01/18,3470846.73,5443057.14,Gleditisia triacanthos,,"0",34 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989 00:00:00,1,Amerikanische Gleditschie,Gleditisia triacanthos,0.35,10.7,11.5,
6,{BDC58A92-6B52-4A4F-B513-21B1630C6B05},,"1.50603",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470834.29,5443041.5,Tilia spec.,,"0",32 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989,1,Winterlinde,Tilia cordata,0.2,7,8.3,"3 qm,  verdichteter Boden"
7,{1D1A601F-DC70-4C1D-8B5A-DDDAC15DCA87},,"1.50604",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470827.74,5443049.23,Tilia spec.,,"0",33 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989 00:00:00,1,Winterlinde,Tilia cordata,0.2,6.2,8.4,"3 qm,  verdichteter Boden"
8,{52CF7ED9-636A-431F-942F-B2F49ACD794A},,"1.50605",B,,Laubbaum,False,5,,bruchsal_baum,,2024/01/18,3470821.39,5443056.18,Tilia spec.,,"0",33 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989 00:00:00,1,Winterlinde,Tilia cordata,0.2,5.5,8.7,"3 qm,  verdichteter Boden"
9,{9D70920B-12E9-4920-9382-38147DDEB2D1},,"1.50606",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470816.83,5443061.54,Tilia spec.,,"0",33 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989 00:00:00,1,Winterlinde,Tilia cordata,0.28,7.5,12.8,"3 qm,  verdichteter Boden"
10,{C2371290-242F-4AF4-AE92-88BA08D15465},,"1.50607",B,,Laubbaum,False,7,,bruchsal_baum,,2024/01/18,3470806.91,5443072.85,Tilia spec.,,"0",33 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989 00:00:00,1,Winterlinde,Tilia cordata,0.2,7,8.4,"3 qm,  verdichteter Boden"
11,{4E032C85-4B0A-49C6-9E52-1D1B61BDF86F},,"1.50608",B,,Laubbaum,False,7,,bruchsal_baum,,2024/01/18,3470801.95,5443078.21,Tilia spec.,,"0",34 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989 00:00:00,1,Winterlinde,Tilia cordata,0.21,7.5,10,"3 qm,  verdichteter Boden"
12,{FA05161B-BB69-4D4B-B781-97CD5F804749},,"1.50609",B,,Laubbaum,False,6,,bruchsal_baum,,2024/01/18,3470798.38,5443082.77,Tilia spec.,,"0",33 Jahre,1/001/164,Dr.-Karl-Meister-Straße,18.12.1989 00:00:00,1,Winterlinde,Tilia cordata,0.23,7,9.9,"3 qm, verdichteter Boden"
13,{07D825A6-22E7-4AAF-957D-80375EB6B970},,"1.50201",B,,Laubbaum,True,9,,bruchsal_baum,,2024/01/18,3470765.1,5443124.01,Aesculus hippocastanum,,"0",111 Jahre,1/001/161,Am Alten Schloß,01.01.1911,1,Gewöhnliche Rosskastanie,Aesculus hippocastanum,0.33,8.4,9.3,3 qm 
