"fid","ART","NAME_DT","BHD","HOEHE","class","n_staemme","gwGruppe","a","b","c","RSfac","biomass","carbonmass","co2mass"
1,"Laubbaum","Winterlinde",38,12.4,"Buche",1,8,0.058,2.034,0.637,0.2,565.455833199605,282.727916599802,1037.61145392127
2,"Laubbaum","Winterlinde",36,12,"Buche",1,8,0.058,2.034,0.637,0.2,496.097433079034,248.048716539517,910.338789700028
3,"Laubbaum","Winterlinde",57,16.2,"Buche",1,10,0.058,2.034,0.637,0.2,1529.39533201742,764.69766600871,2806.44043425197
4,"Laubbaum","Amerikanische Gleditschie",40,11.5,"Eiche",1,8,0.067,1.938,0.638,0.22,494.256191875085,247.128095937542,906.960112090781
5,"Laubbaum","Amerikanische Gleditschie",35,11.5,"Eiche",1,7,0.067,1.938,0.638,0.22,381.560777852452,190.780388926226,700.164027359249
6,"Laubbaum","Winterlinde",20,8.3,"Buche",1,6,0.058,2.034,0.637,0.2,118.674386601235,59.3371933006175,217.767499413266
7,"Laubbaum","Winterlinde",20,8.4,"Buche",1,6,0.058,2.034,0.637,0.2,119.583195930646,59.7915979653228,219.435164532735
8,"Laubbaum","Winterlinde",20,8.7,"Buche",1,5,0.058,2.034,0.637,0.2,122.286359103213,61.1431795516063,224.395468954395
9,"Laubbaum","Winterlinde",28,12.8,"Buche",1,6,0.058,2.034,0.637,0.2,310.042639853292,155.021319926646,568.928244130791
10,"Laubbaum","Winterlinde",20,8.4,"Buche",1,6,0.058,2.034,0.637,0.2,119.583195930646,59.7915979653228,219.435164532735
11,"Laubbaum","Winterlinde",21,10,"Buche",1,5,0.058,2.034,0.637,0.2,147.571769588817,73.7858847944084,270.794197195479
12,"Laubbaum","Winterlinde",23,9.9,"Buche",1,5,0.058,2.034,0.637,0.2,176.434404932812,88.2172024664059,323.75713305171
13,"Laubbaum","Gewöhnliche Rosskastanie",33,9.3,"Buche",1,8,0.058,2.034,0.637,0.2,353.337906501308,176.668953250654,648.3750584299
14,"Laubbaum","Spitzahorn",23,10.1,"Eiche",1,5,0.067,1.938,0.638,0.22,155.675480924515,77.8377404622574,285.664507496485
15,"Laubbaum","Bergahorn",19,8.5,"Eiche",1,5,0.067,1.938,0.638,0.22,96.3004655427801,48.15023277139,176.711354271001
16,"Laubbaum","Bergahorn",24,12.2,"Eiche",1,6,0.067,1.938,0.638,0.22,190.713568210139,95.3567841050693,349.959397665604
17,"Laubbaum","Bergahorn",17,8,"Eiche",1,4,0.067,1.938,0.638,0.22,74.6820197369452,37.3410098684726,137.041506217294
18,"Laubbaum","Bergahorn",24,11.2,"Eiche",1,6,0.067,1.938,0.638,0.22,180.586432382295,90.2932161911475,331.376103421511
19,"Laubbaum","Winterlinde",36,16.1,"Buche",1,7,0.058,2.034,0.637,0.2,598.241599819768,299.120799909884,1097.77333566928
20,"Laubbaum","Papierbirke",20,8.7,"Eiche",1,5,0.067,1.938,0.638,0.22,107.95531976806,53.9776598840302,198.098011774391
21,"Laubbaum","Grau-Erle",34,7.9,"Eiche",1,8,0.067,1.938,0.638,0.22,283.87481150086,141.93740575043,520.910279104078
22,"Laubbaum","Winterlinde",23,9.5,"Buche",1,5,0.058,2.034,0.637,0.2,171.859520061923,85.9297600309614,315.362219313628
23,"Nadelbaum","Schwarzkiefer",28,11.8,"Kiefer",1,6,0.044,2.096,0.712,0.22,335.919898229817,167.959949114909,616.413013251715
24,"Nadelbaum","Schwarzkiefer",30,9.2,"Kiefer",1,7,0.044,2.096,0.712,0.22,325.143884628884,162.571942314442,596.639028294001
25,"Nadelbaum","Schwarzkiefer",36,10.2,"Kiefer",1,8,0.044,2.096,0.712,0.22,512.797466736041,256.398733368021,940.983351460636
26,"Laubbaum","Hainbuche",33,11.6,"Buche",1,7,0.058,2.034,0.637,0.2,406.748848809423,203.374424404712,746.384137565292
27,"Laubbaum","Winterlinde",57,12.1,"Buche",1,10,0.058,2.034,0.637,0.2,1269.96858184465,634.984290922324,2330.39234768493
38,"Laubbaum","Winterlinde",36,14.5,"Buche",1,7,0.058,2.034,0.637,0.2,559.654427144162,279.827213572081,1026.96587380954
39,"Laubbaum","Winterlinde",29,9,"Buche",1,7,0.058,2.034,0.637,0.2,266.05979115845,133.029895579225,488.219716775755
40,"Laubbaum","Winterlinde",28,12.7,"Buche",1,6,0.058,2.034,0.637,0.2,308.497497626613,154.248748813306,566.092908144835
41,"Laubbaum","Winterlinde",26,12,"Buche",1,6,0.058,2.034,0.637,0.2,255.91956160113,127.959780800565,469.612395538073
42,"Laubbaum","Winterlinde",23,10.7,"Buche",1,5,0.058,2.034,0.637,0.2,185.387788797813,92.6938943989065,340.186592443987
43,"Laubbaum","Winterlinde",30,13,"Buche",1,6,0.058,2.034,0.637,0.2,360.292969033169,180.146484516585,661.137598175866
44,"Laubbaum","Winterlinde",25,12.2,"Buche",1,6,0.058,2.034,0.637,0.2,238.79785937764,119.39892968882,438.194071957969
45,"Laubbaum","Winterlinde",24,13,"Buche",1,6,0.058,2.034,0.637,0.2,228.844679960556,114.422339980278,419.929987727619
46,"Laubbaum","Amerikanischer Amberbaum",7,5.8,"Eiche",1,1,0.067,1.938,0.638,0.22,10.8968681190585,5.44843405952926,19.9957529984724
47,"Laubbaum","Winterlinde",20,10.9,"Buche",1,5,0.058,2.034,0.637,0.2,141.170817604474,70.585408802237,259.04845030421
48,"Laubbaum","Winterlinde",22,9.9,"Buche",1,5,0.058,2.034,0.637,0.2,161.18201893579,80.591009467895,295.769004747175
49,"Laubbaum","Spitzahorn",20,13.2,"Eiche",1,5,0.067,1.938,0.638,0.22,140.850026516304,70.4250132581519,258.459798657418
50,"Laubbaum","Spitzahorn",32,12.7,"Eiche",1,7,0.067,1.938,0.638,0.22,341.69770770948,170.84885385474,627.015293646895
51,"Laubbaum","Winterlinde",55,14,"Buche",1,10,0.058,2.034,0.637,0.2,1295.95675213083,647.978376065417,2378.08064016008
52,"Laubbaum","Winterlinde",25,12.1,"Buche",1,6,0.058,2.034,0.637,0.2,237.549159505674,118.774579752837,435.902707692912
53,"Laubbaum","Winterlinde",22,11.7,"Buche",1,5,0.058,2.034,0.637,0.2,179.279803011788,89.6399015058938,328.97843852663
54,"Laubbaum","Winterlinde",35,13,"Buche",1,7,0.058,2.034,0.637,0.2,492.975750955775,246.487875477887,904.610503003847
55,"Laubbaum","Winterlinde",33,9.1,"Buche",1,8,0.058,2.034,0.637,0.2,348.478477163321,174.239238581661,639.458005594695
56,"Laubbaum","Winterlinde",27,11.8,"Buche",1,6,0.058,2.034,0.637,0.2,273.395885653117,136.697942826559,501.68145017347
57,"Laubbaum","Winterlinde",29,12.3,"Buche",1,6,0.058,2.034,0.637,0.2,324.635734455883,162.317867227942,595.706572726546
58,"Laubbaum","Winterlinde",26,10.8,"Buche",1,6,0.058,2.034,0.637,0.2,239.307308147063,119.653654073532,439.128910449861
59,"Laubbaum","Götterbaum",42,11.3,"Eiche",1,9,0.067,1.938,0.638,0.22,537.224493518911,268.612246759456,985.806945607202
60,"Laubbaum","Götterbaum",34,14.2,"Eiche",1,7,0.067,1.938,0.638,0.22,412.667947876129,206.333973938065,757.245684352697
72,"Laubbaum","Götterbaum",37,11,"Eiche",1,8,0.067,1.938,0.638,0.22,413.064724212558,206.532362106279,757.973768930043
77,"Nadelbaum","Winterlinde",33,13.8,"Buche",1,7,0.058,2.034,0.637,0.2,454.32807152982,227.16403576491,833.69201125722
78,"Laubbaum","Winterlinde",33,15,"Buche",1,7,0.058,2.034,0.637,0.2,479.111643514311,239.555821757155,879.169865848761
79,"Laubbaum","Winterlinde",31,15.5,"Buche",1,7,0.058,2.034,0.637,0.2,430.804485615975,215.402242807988,790.526231105315
80,"Laubbaum","Winterlinde",23,11.6,"Buche",1,5,0.058,2.034,0.637,0.2,195.174644596275,97.5873222981373,358.145472834164
81,"Laubbaum","Winterlinde",35,12,"Buche",1,8,0.058,2.034,0.637,0.2,468.470335361867,234.235167680934,859.643065389026
82,"Laubbaum","Winterlinde",26,12.5,"Buche",1,6,0.058,2.034,0.637,0.2,262.661673927343,131.330836963671,481.984171656674
83,"Laubbaum","Winterlinde",24,12.3,"Buche",1,6,0.058,2.034,0.637,0.2,220.9166562659,110.45832813295,405.382064247927
84,"Laubbaum","Winterlinde",30,14.6,"Buche",1,7,0.058,2.034,0.637,0.2,387.941857445617,193.970928722809,711.873308412708
85,"Laubbaum","Winterlinde",30,13.6,"Buche",1,6,0.058,2.034,0.637,0.2,370.798660281262,185.399330140631,680.415541616116
86,"Laubbaum","Winterlinde",28,10.3,"Buche",1,7,0.058,2.034,0.637,0.2,269.964082755941,134.98204137797,495.384091857151
87,"Laubbaum","Winterlinde",25,9.5,"Buche",1,6,0.058,2.034,0.637,0.2,203.624088765968,101.812044382984,373.650202885552
91,"Laubbaum","Hainbuche",23,10.5,"Buche",1,5,0.058,2.034,0.637,0.2,183.172908579364,91.5864542896822,336.122287243134
92,"Laubbaum","Hainbuche",24.0416305603426,11.7,"Buche",2,6,0.058,2.034,0.637,0.2,214.745585679298,107.372792839649,394.058149721511
93,"Laubbaum","Schwarzkiefer",37,14.8,"Kiefer",1,7,0.044,2.096,0.712,0.22,707.928932826499,353.96446641325,1299.04959173663
94,"Laubbaum","Amerikanische Gleditschie",51,16.8,"Eiche",1,9,0.067,1.938,0.638,0.22,1007.98241687503,503.991208437516,1849.64773496568
95,"Laubbaum","Schwarzkiefer",38,12.3,"Kiefer",1,7,0.044,2.096,0.712,0.22,656.222874713191,328.111437356596,1204.16897509871
97,"Laubbaum","Hainbuche",36,9.9,"Buche",1,8,0.058,2.034,0.637,0.2,438.882379739857,219.441189869929,805.349166822638
98,"Laubbaum","Winterlinde",35,14.5,"Buche",1,7,0.058,2.034,0.637,0.2,528.487913238629,264.243956619315,969.775320792884
99,"Laubbaum","Spitzahorn",30,11.9,"Eiche",1,6,0.067,1.938,0.638,0.22,289.26413252649,144.632066263245,530.79968318611
100,"Laubbaum","Spitzahorn",29,12.5,"Eiche",1,6,0.067,1.938,0.638,0.22,279.505618045953,139.752809022977,512.892809114324
101,"Laubbaum","Spitzahorn",30,9.8,"Eiche",1,7,0.067,1.938,0.638,0.22,255.562931582051,127.781465791025,468.957979453063
102,"Laubbaum","Spitzahorn",35,13.1,"Eiche",1,7,0.067,1.938,0.638,0.22,414.627010075939,207.31350503797,760.840563489348
103,"Laubbaum","Spitzahorn",32,8.8,"Eiche",1,8,0.067,1.938,0.638,0.22,270.392870435007,135.196435217503,496.170917248238
104,"Laubbaum","Winterlinde",24,10.3,"Buche",1,5,0.058,2.034,0.637,0.2,197.3041487738,98.6520743869001,362.053112999923
105,"Laubbaum","Winterlinde",23,10.4,"Buche",1,5,0.058,2.034,0.637,0.2,182.059730368763,91.0298651843814,334.07960522668
106,"Laubbaum","Winterlinde",29,10,"Buche",1,7,0.058,2.034,0.637,0.2,284.529150572848,142.264575286424,522.110991301175
107,"Laubbaum","Winterlinde",7,5.4,"Buche",1,1,0.058,2.034,0.637,0.2,10.6677659321523,5.33388296607617,19.5753504854995
